Suburb,Pharmacy name,Address,Postcode,Phone,Local Government Area,Service
Rosebery,Rothschild Avenue Pharmacy,206/28 Rothschild Avenue,2018,(02) 7251 0930,"Sydney, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Roselands,Priceline Pharmacy Roselands,"Shop L25, Roselands Drive",2196,(02) 9759 1444,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Roselands,Pharmacy 4 Less Roselands,Shop 2-012,2193,(02) 8488 1806,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Roseville,North Shore Pharmacy Roseville,86 Pacific Highway,2069,(02) 9412 1036,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
Rouse Hill,TerryWhite Chemmart Rouse Hill,G002/10-14 Market Lane,2155,(02) 8883 0988,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Rouse Hill,Rouse Hill Soul Pattinson Chemist,"Shop 8, Rouse Hill Village Centre, 18-24 Adelphi Street",2155,(02) 9629 4079,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Rouse Hill,Cincotta Discount Chemist Rouse Hill,Rouse Hill Town CentreShop GR085 10/14 Market Lane,2155,(02) 8882 9033,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Rozelle,Adore Pharmacy,671 Darling Street,2039,(02) 9810 7349,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Ruse,Ruse Village Pharmacy,"Shop 4, 225 Junction Road",2560,(02) 4626 3259,Campbelltown City Council,"Urinary tract infection, Oral contraceptive pill"
Rutherford,TerryWhite Chemmart Rutherford,Shop 6/1 East Mall,2320,(02) 4932 5155,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
Rutherford,Priceline Pharmacy Rutherford,Shop 10 East Mall,2320,(02) 4932 9493,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
Ryde,TerryWhite Chemmart Putney,2/227 Morrison Road,2112,(02) 9809 3408,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
Ryde,Ryde Pharmacy,107 Blaxland Road,2112,(02) 9809 3294,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
Salamander Bay,Wanda Beach Pharmacy,"Shop 5-6, 251 Soldiers Point Road",2317,(02) 4984 7936,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
Salamander Bay,Amcal + Salamander Bay,Shop 12/2 Town Centre Circuit,2317,(02) 4982 7644,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
Salamander Bay,Salamander Medical Centre Pharmacy,"Suite 4, 6 Central Avenue",2317,(02) 4911 2331,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
San Remo,Priceline Pharmacy Northlakes,Shop 18-21 Pacific Highway,2262,(02) 4390 7188,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Sanctuary Point,Chemist Hub Sanctuary Point,195 Kerry Street,2540,(02) 4443 0110,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Sans Souci,Star Discount Chemist Dolls Point,"Shop 6, 524-544 Rocky Point Road",2219,(02) 9529 8696,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Saratoga,Blooms the Chemist Saratoga,"Shop 11, 10 Village Road",2251,(02) 4369 1494,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Sawtell,Blooms the Chemist Sawtell,35-37 First Avenue,2452,(02) 6653 1227,Coffs Harbour City Council,"Urinary tract infection, Oral contraceptive pill"
Schofields,TerryWhite Chemmart Schofields,"Shop 1, 217 Railway Terrace",2762,(02) 9626 0366,Blacktown City Council,Urinary tract infection
Schofields South,TerryWhite Chemmart Schofields Village,Shop 13/227 Railway Terrace,2765,(02) 9836 8181,Blacktown City Council,Urinary tract infection
Scone,Scone Discount Pharmacy,"Shop 13-14, 209 Kelly Street, Scone Village Food Emporium",2337,(02) 6545 3604,Upper Hunter Shire Council,"Urinary tract infection, Oral contraceptive pill"
Scone,Chemist Discount Centre Scone,153 Kelly Street,2337,(02) 6545 1007,Upper Hunter Shire Council,"Urinary tract infection, Oral contraceptive pill"
Scotts Head,Scotts Head Pharmacy,"Shop 3, 5 Adin Street",2447,(02) 6569 7788,Nambucca Valley Council,"Urinary tract infection, Oral contraceptive pill"
Seaforth,Seaforth Pharmacy,"Shop 2, 553 Sydney Road",2092,(02) 9948 1476,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Sefton,Vital Healthcare Pharmacy,141 Wellington Road,2162,(02) 9738 5050,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Seven Hills,Priceline Pharmacy Seven Hills,"Shop 48, 224 Prospect Highway",2147,(02) 9622 2626,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Seven Hills,TerryWhite Chemmart Seven Hills,65 Boomerang Place,2147,(02) 9622 3131,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Shalvey,Shalvey Pharmacy,483 Luxford Road,2770,(02) 9628 5628,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Shell Cove,Choice Pharmacy Shell Cove,"Shop T9, 101 Cove Boulevard",2529,(02) 4297 4672,Albury City Council,"Urinary tract infection, Oral contraceptive pill"
Shellhabour,Good Price Pharmacy Warehouse Shellharbour,"Shop 002, 211 Lake Entrance Road",2529,(02) 4295 6066,Shellharbour City Council,"Urinary tract infection, Oral contraceptive pill"
Shellharbour,Priceline Pharmacy Shellharbour,"Shop 1023, 211 Lake Entrance Road",2529,(02) 4296 1045,Shellharbour City Council,"Urinary tract infection, Oral contraceptive pill"
Shellharbour,Shellharbour City Pharmacy,14-15/75 Cygnet Avenue,2529,(02) 4296 2896,Shellharbour City Council,"Urinary tract infection, Oral contraceptive pill"
Shellharbour,Shellharbour Village Pharmacy,1/9 Addison Street,2529,(02) 4296 5292,Shellharbour City Council,"Urinary tract infection, Oral contraceptive pill"
Shellharbour City Centre,Chemist Warehouse Shellharbour,Shop 9A Lake Entrance Road,2529,(02) 4297 6333,Shellharbour City Council,"Urinary tract infection, Oral contraceptive pill"
Shoal Bay,Shoal Bay Pharmacy,59 Shoal Bay Road,2315,(02) 4981 1247,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
Shoalhaven Heads,Shoalhaven Heads Pharmacy,3/121 Shoalhaven Heads Road,2535,(02) 4448 7727,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Shortland,My Community Pharmacy Shortland,310 Sandgate Road,2307,(02) 4955 8180,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Silverwater,Chemist Outlet Silverwater,3 Coal Street,2128,(02) 9735 0100,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Singleton,Priceline Pharmacy Singleton,"Shop 23A, 1 Gowrie Street",2330,(02) 6572 2566,Singleton Council,"Urinary tract infection, Oral contraceptive pill"
Singleton,Singleton Discount Drug Store,122-124 John Street,2330,(02) 6572 2663,Singleton Council,"Urinary tract infection, Oral contraceptive pill"
Singleton Heights,Blooms the Chemist Singleton Heights,"Shop 3 And 4, 108 Blaxland Avenue",2330,(02) 6573 1410,Singleton Council,"Urinary tract infection, Oral contraceptive pill"
South Grafton,Southside Pharmacy,4/94 Bent Street,2460,(02) 6642 3788,Clarence Valley Council,"Urinary tract infection, Oral contraceptive pill"
South Lismore,Lismore Southside Chempro Chemist,13 Casino Street,2480,(02) 6621 4500,Lismore City Council,"Urinary tract infection, Oral contraceptive pill"
South Maroubra,Walsh's Village Pharmacy,3 Meagher Avenue,2035,(02) 9311 0088,City of Randwick,"Urinary tract infection, Oral contraceptive pill"
South Nowra,Goodprice Pharmacy,8/28 Central Avenue,2541,(02) 4421 6333,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
South Penrith,Priceline Pharmacy Southlands,Corner Maxwell and Evan Street,2750,(02) 4731 6833,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
South Tamworth,TerryWhite Chemmart Southgate,Shop 5/4 Kathleen Street,2340,(02) 6765 9700,Tamworth Regional Council,Urinary tract infection
South West Rocks,TerryWhite Chemmart South West Rocks,11 Memorial Avenue,2431,(02) 6566 6700,Kempsey Shire Council,"Urinary tract infection, Oral contraceptive pill"
South West Rocks,Blooms the Chemist South West Rocks,"Shop 9, 10, 11 & 12 The Rocks Central, 255-279 Gregory Street",2431,(02) 6566 6155,Kempsey Shire Council,"Urinary tract infection, Oral contraceptive pill"
South West Rocks,South West Rocks Pharmacist Advice,4 Princes Of Wales Avenue,2431,(02) 6566 6280,Kempsey Shire,"Urinary tract infection, Oral contraceptive pill"
South Windsor,Good Life Pharmacy South Windsor,491 George Street,2756,(02) 4577 3057,Hawkesbury City Council,"Urinary tract infection, Oral contraceptive pill"
Speers Point,Speers Point Pharmacy,1/175 Main Road,2284,(02) 4958 1080,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Spring Farm,Choice Pharmacy Spring Farm,Shop1A/254 Richardson Road,2570,(02) 4658 2409,Camden Council,"Urinary tract infection, Oral contraceptive pill"
Spring Ridge,Spring Ridge Pharmacy,76 Darby Road,2343,(02) 6747 3833,Liverpool Plains Shire Council,"Urinary tract infection, Oral contraceptive pill"
Springwood,Blooms the Chemist Springwood,161 Macquarie Road,2777,(02) 4751 2963,Blue Mountains City Council,"Urinary tract infection, Oral contraceptive pill"
St Andrews,St Andrew’s Pharmacy,Shop 4-5/91 Ballantrae Drive,2566,(02) 9603 6484,Campbelltown City Council,"Urinary tract infection, Oral contraceptive pill"
St Clair,MediAdvice Pharmacy St Clair,44 Melville Road,2759,(02) 9670 3904,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
St Ives,McDonalds Pharmacy St Ives,225 Mona Vale Road,2075,(02) 9144 5905,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
St Ives,Priceline Pharmacy St Ives,"Shop 43-44, 166 Mona Vale Road",2075,(02) 9144 7011,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
St Ives,Blooms the Chemist St Ives,Shop 3/4 St Ives Shopping Village Corner Memorial Avenue & Mona Vale Road,2075,(02) 9144 6914,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
St Ives,Carters Pharmacy,8/351 Mona Vale Road,2075,(02) 9144 1561,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
St Ives,O'Loughlin's Medical Pharmacy,166 Mona Vale Road,2075,(02) 9440 0030,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
St Johns Park,Discount Drug Store St Johns Park,Shop 12A/56-70 Canberra Street,2176,(02) 9610 5010,Fairfield City Council,Urinary tract infection
St Marys,Easy Script Pharmacy,38 Queen Street,2760,(02) 9623 5023,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
St Marys,Priceline Pharmacy St Marys,Shop 9&13 St Marys Village,2760,(02) 9673 1010,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
St Marys,Chemist Warehouse St Mary's,92 Queen Street,2760,(02) 9623 1263,Penrith City Council,Urinary tract infection
St Marys,Colyton Pharmacy,"Shop 3, 30 Day Street",2760,(02) 9623 1260,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
St Marys,Healthy Living Discount Pharmacy,Shop 1/51 Phillip Street,2760,(02) 9673 2404,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Stanhope Gardens,TerryWhite Chemmart Stanhope Gardens,9/2 Sentry Drive,2768,(02) 8883 1988,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Stanmore,Stanmore Pharmacy,Shop 12/140 Percival Road,2048,(02) 9550 0906,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Stanmore,Stanmore Station Pharmacy,104A Cambridge Street,2048,(02) 9569 4396,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Stockton,Simply Pharmacy Stockton,59 Mitchell Street,2295,(02) 4928 1328,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Strathfield,The Centre Pharmacy,Shop 2/258-260 Homebush Road,2135,(02) 9642 4480,Strathfield Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Stuarts Point,Stuarts Point Pharmacy,22 Marine Parade,2441,(02) 6569 1074,Kempsey Shire Council,"Urinary tract infection, Oral contraceptive pill"
Suffolk Park,Suffolk Park Pharmacy,Shop 8/1 Clifford Street,2481,(02) 6685 9990,Byron Shire Council,"Urinary tract infection, Oral contraceptive pill"
Summer Hill,Santos Centre Pharmacy,42-44 Lackey Street,2130,(02) 9797 9711,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Surf Beach,Surf Beach Pharmacy,Shop 1/640 Beach Road,2536,(02) 4471 1596,Eurobodalla Shire Council,"Urinary tract infection, Oral contraceptive pill"
Surry Hills,Blooms the Chemist Surry Hills Crown Street,559 Crown Street,2010,(02) 93102631,City of Sydney,Oral contraceptive pill
Surry Hills,Surry Hills MediAdvice Pharmacy,608 Crown Street,2010,(02) 9319 7547,"Sydney, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Sussex Inlet,Sussex Inlet Pharmacy,192 Jacobs Drive,2540,(02) 4441 2444,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Sutherland,Priceline Pharmacy Sutherland,764 Old Princess Highway,2232,(02) 9521 2220,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Sutton,Sutton Pharmacy Plus,Shop 1/ 51 Camp Street,2620,(02) 6230 3552,Yass Valley Council,"Urinary tract infection, Oral contraceptive pill"
Swansea,Swansea Discount Drug Store,148 Pacific Highway,2281,(02) 4970 7000,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Swansea,Swansea Wholelife Pharmacy and Health,208 Pacific Highway,2281,(02) 4970 8800,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Sydney,TerryWhite Chemmart Clarence Street,"Shop 1, 100 Clarence Street",2000,(02) 9299 2858,"Sydney, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Sydney,Glover Chemist,500 George Street,2000,(02) 9267 0233,City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Sydney,Priceline Pharmacy Hyde Park,"Shop 1, 227 Elizabeth St",2000,(02) 9262 7700,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Sydney,Priceline Pharmacy Wynyard,Shop 36/301 George Street,2000,(02) 9262 6305,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Sydney,Priceline Pharmacy Town Hall Square,Shop 21A-22/464-484 Kent Street,2000,(02) 9264 8928,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Sydney,Chemist Warehouse Sydney George Street,379-385 George Street,2000,(02) 8381 4514,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Sydney,Your Chemist Shop Martin Place,Shop 6/19-25 Martin Place,2000,(02) 8520 6014,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Sydney,Martin Place Pharmacy,"Shop 12, 52 Martin Place",2000,(02) 9232 7912,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Sydney,Priceline Pharmacy Metcentre Sydney,"Shop G20 Metcentre, 273 George Street",2000,(02) 9247 2045,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Sydney,Chemist Warehouse Sydney Pitt Street North,80 Pitt Street,2000,(02) 9247 5566,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Sydney,Quay Quarter Pharmacy,50 Bridge Street,2000,(02) 9251 0836,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Sydney,Terrywhite Chemmart Macquarie Street,Shop 1/185 Macquarie Street,2000,(02) 9221 1622,"Sydney, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Sydney,Priceline Pharmacy Margaret Street,"Shop 1, 1 Margaret Street",2000,(02) 9290 3355,Council of the City of Sydney,Urinary tract infection
Sydney,Chemist Warehouse Sydney Hyde Park,3/299 Elizabeth Street,2000,(02) 9261 4447,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Sydney,Sydney Medical Centre Pharmacy,"Level 11, 501 George St",2000,(02)9264 0484,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Sydney Olympic Park,Chemist Warehouse Sydney Olympic Park,Shops 3 to 5/11 Murray Rose Avenue,2127,(02) 9746 9706,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Sylvania,Southgate Pharmacy,"Shop 16, Princes Highway and Port Hacking Road",2224,(02) 9522 9343,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Sylvania,Box Village Healthsave Pharmacy,3A/262 Corner Box Road And Corea Street,2224,(02) 9522 9119,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Sylvania Waters,Sylvania Waters Pharmacy,"Shop 9, 12-14 Murrumbidgee Avenue",2224,(02) 9522 6215,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
TaNoneba Bay,TerryWhite Chemmart TaNoneba Bay,"Shop 5, TaNoneba Bay S/C, Lemon Tree Passage Road",2319,(02) 4982 3130,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
Tahmoor,Priceline Pharmacy Tahmoor,Shop 12/117 Remembrance Drive,2573,(02) 4681 8713,Wollondilly Shire Council,"Urinary tract infection, Oral contraceptive pill"
Tahmoor,Pharmacy 4 Less Tahmoor,"Shop 5&6, 161-173 Remembrance Drive",2573,(02) 4681 0224,Wollondilly Shire Council,"Urinary tract infection, Oral contraceptive pill"
Tamworth,Priceline Pharmacy Tamworth Square,"Shop 21, 436 Peel Street",2340,(02) 6766 3997,Tamworth Regional Council,"Urinary tract infection, Oral contraceptive pill"
Tamworth,Good Price Pharmacy Warehouse Tamworth,"Shop 6, Tamworth Homespace, 425-437 Goonoo Road",2340,(02) 6762 3211,Tamworth Regional Council,"Urinary tract infection, Oral contraceptive pill"
Tamworth,The Centre Pharmacy Tamworth,"Northgate Shopping CentreShop 7 & 8, 1 Piper Street",2340,(02) 6766 1818,Tamworth Regional Council,"Urinary tract infection, Oral contraceptive pill"
Tamworth,Blooms the Chemist Tamworth,348 Peel Street,2340,(02) 6766 2895,Tamworth Regional Council,"Urinary tract infection, Oral contraceptive pill"
Tamworth,Howles Pharmacy,"Shop 35 Tamworth Shoppingworld, Cnr Bridge and Denne Street",2340,(02)6765 8243,Tamworth Regional Council,"Urinary tract infection, Oral contraceptive pill"
Tamworth,Chemist Warehouse Tamworth,2/130 Peel Street,2340,(02) 6766 2360,Tamworth Regional Council,"Urinary tract infection, Oral contraceptive pill"
Taree,Priceline Pharmacy Taree,171 Victoria Street,2430,(02) 6552 2000,Mid-Coast Council,"Urinary tract infection, Oral contraceptive pill"
Taree,TerryWhite Chemmart Taree,9/60 Manning Street,2430,(02) 6551 7766,Mid-Coast Council,"Urinary tract infection, Oral contraceptive pill"
Taree,Chemist Warehouse Taree,40-42 Manning Street,2430,(02) 8381 4536,Mid-Coast Council,"Urinary tract infection, Oral contraceptive pill"
Taree,Coopers Pharmacy Taree,Shop 7-9 Manning Mall,2430,(02) 6552 1743,Mid-Coast Council,"Urinary tract infection, Oral contraceptive pill"
Taree,Coopers Pharmacy Chatham,11 Oxley Street,2430,(02) 6552 2955,Mid-Coast Council,"Urinary tract infection, Oral contraceptive pill"
Taree,Blooms the Chemist Taree,2-4 Manning Street,2430,(02) 6552 1662,Mid-Coast Council,"Urinary tract infection, Oral contraceptive pill"
Tea Gardens,Myall Pharmacy Tea Gardens,2/8-12 Myall Quays Boulevard,2324,(02) 4997 2445,Mid-Coast Council,Urinary tract infection
Telarah,Telarah Pharmacy,6/34 South Street,2320,(02) 4931 9606,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
Temora,Capital Chemist Temora,204 Hoskins Street,2666,(02) 6977 2026,Temora Shire Council,"Urinary tract infection, Oral contraceptive pill"
Temora,Harvest Pharmacy,112 Hoskins Street,2666,(02) 6977 4826,Temora Shire Council,"Urinary tract infection, Oral contraceptive pill"
Tenambit,Tenambit Pharmacy,47 Maize Street,2323,(02) 4933 6501,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
Terrigal,Terrigal Pharmacy,9 Church Street,2260,(02) 4385 1427,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Terrigal,Kuoch Chemist Terrigal,Shop 1&2 80 Terrigal Esplanade,2260,(02) 4384 1173,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
The Entrance,Kuoch Chemist the Entrance,3/40-48 The Entrance Road,2261,(02) 4332 2662,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
The Junction,TerryWhite Chemmart Junction Fair,"Shop 18, Glebe Road and Union Street",2291,(02) 4962 1599,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
The Junction,Priceline Pharmacy The Junction,196 Union Street,2291,(02) 4961 1313,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
The Ponds,Priceline Pharmacy The Ponds,"Tenancy 24, Corner The Ponds Boulevard and Riverbank Drive",2769,(02) 9629 7422,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
The Rocks,The Rocks Chemist,97 George Street,2000,(02) 9247 2625,"Sydney, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Thirroul,Smith's Chemist,"Shop 11, 1A King Street",2515,(02) 4268 4711,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Thirroul,Thirroul Pharmacy,"Shop 4, 277A Lawrence Hargrave Drive",2515,(02) 4268 1067,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Thornleigh,Inform Pharmacy Thornleigh,Shop 8 /2-12 The Comenarra Parkway,2120,(02) 9484 1664,The Council of the Shire of Hornsby,"Urinary tract infection, Oral contraceptive pill"
Thornton,Chemist Outlet Thornton,Suite 5 2 Poynton Place,2322,(02) 4188 8111,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
Thornton,Thornton Discount Drug Store,"Shop 20-21 Thornton Shopping Centre, Taylor Avenue",2322,(02) 4966 5359,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
Thurgoona,Thurgoona Family Pharmacy,12/10 Shuter Avenue,2640,(02) 6043 1444,Albury City Council,Urinary tract infection
Tocumwal,The Tocumwal Pharmacy,34-36 DeNoneiquin Street,2714,(03) 5874 2082,Berrigan Shire Council,"Urinary tract infection, Oral contraceptive pill"
Toongabbie,Toongabbie Discount Drug Store,13 Auerlia Street,2146,(02) 9631 3268,Cumberland Council,"Urinary tract infection, Oral contraceptive pill"
Toormina,Blooms the Chemist Toormina,"Shop Sp047, Toormina Gardens Shopping Centre, 5 Toormina Road",2452,(02) 6653 1444,City of Coffs Harbour,"Urinary tract infection, Oral contraceptive pill"
Toronto,Priceline Pharmacy Toronto,Shop 14/63 The Boulevarde,2283,(02) 4950 3000,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Toronto,Simply Pharmacy Toronto,42-44 The Boulevarde,2283,(02) 4959 2152,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Toukley,Noraville Pharmacy,368 Main Road,2263,(02) 4396 4785,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Toukley,Beachcomber Pharmacy,Shop 3-4/45 Canton Beach Road,2263,(02) 4396 4118,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Toukley,Kuoch Chemist Toukley,4/219 Main Road,2263,(02) 4396 4017,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Toukley,Cincotta Discount Chemist Toukley,1/213-217 Main Road,2263,(02) 4396 4137,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Tregear,Tregear Discount Drug Store,"Shop 6, 159 Aurora Drive",2770,(02) 9628 6612,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Tuggerah,Priceline Pharmacy Tuggerah,50 Wyong Rd,2259,(02) 4353 5211,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Tuggerah,TerryWhite Chemmart Tuggerah,Shop 1070,2259,(02) 4353 5550,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Tuggerawong,Chemcare Compounding Chemist,"Shop 5, 2 Cadonia Road",2259,(02) 4392 3547,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Tumbi Umbi,Chemist Outlet Tumbi Umbi,1/7 Mingara Drive,2261,(02) 4388 1922,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Tumut,The Bush Chemist Tumut,69 Wynyard Street,2720,(02) 6947 1179,Snowy Valleys Council,"Urinary tract infection, Oral contraceptive pill"
Tuncurry,Great Lakes Pharmacy,4/11 Manning Street,2428,(02) 6555 4000,Mid-Coast Council,"Urinary tract infection, Oral contraceptive pill"
Tura Beach,Direct Chemist Outlet Tura Beach,"Shop 9 & 10, 1 Tura Beach Drive",2548,(02) 6495 0510,Bega Valley Shire Council,"Urinary tract infection, Oral contraceptive pill"
Turramurra,Taylor's Pharmacy Turramurra,27 Rohini Street,2074,(02) 9144 1363,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
Turramurra,Eastern Road Pharmacy,101A Eastern Road,2074,(02) 9489 4808,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
Turvey Park,Soul Pattinson Turvey Park Pharmacy,"Shop 3, 44-66 Fernleigh Road",2650,(02) 6925 2648,Wagga Wagga City Council,Urinary tract infection
Tweed Heads,West Tweed Chempro Chemist,4/212 Kennedy Drive,2485,(07) 5536 4399,Tweed Shire Council,"Urinary tract infection, Oral contraceptive pill"
Tweed Heads,Priceline Pharmacy Tweed Heads,38 Wharf Street,2485,(07) 5536 2642,Tweed Shire Council,"Urinary tract infection, Oral contraceptive pill"
Tweed Heads,Tweed Day And Night Chempro Chemist,1/97 Kennedy Drive,2485,(07) 5536 5638,Tweed Shire Council,Urinary tract infection
Tweed Heads,Tweed Mall Chempro,Shop MM 02,2485,(07) 5536 4455,Tweed Shire Council,"Urinary tract infection, Oral contraceptive pill"
Tweed Heads,Blooms the Chemist Tweed City Central,"Shop 115, 54 Minjungbal Drive",2486,(07) 5523 3325,Tweed Shire Council,Urinary tract infection
Tweed Heads South,Blooms the Chemist Tweed City,"Shop 204, 54 Minjungbal Drive",2486,(07) 5524 4974,Tweed Shire Council,Urinary tract infection
Ulladulla,Priceline Pharmacy Ulladulla,"Shop 1, Phillip Centre, Princes Highway",2539,(02) 4455 1150,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Ulladulla,Capital Chemist Ulladulla,Shop T4 119-121 Princes Highway,2539,(02) 4455 3335,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Umina Beach,Blooms The Chemist Umina,Shop 6/286 West Street,2257,(02) 4341 6906,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Umina Beach,Yousave Chemist Umina Beach,315 West Street,2257,(02) 4341 1488,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Unanderra,Unanderra Pharmacy,33 Central Road,2526,(02) 4271 1204,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Unanderra,Centre Pharmacy Unaderra,120 Princes Highway,2526,(02) 4271 1020,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Uralla,Uralla Pharmacy,70-74 Bridge Street,2358,(02) 6778 5011,Uralla Shire Council,"Urinary tract infection, Oral contraceptive pill"
Urana,Urana Pharmacy,6-8 Osborne Street,2645,(02) 6920 8822,Federation Council,"Urinary tract infection, Oral contraceptive pill"
Urunga,The Urunga Pharmacy,10 Bowra Street,2455,(02) 6655 6104,Bellingen Shire Council,"Urinary tract infection, Oral contraceptive pill"
Valentine,Chemist Hub Valentine,70A Dilkera Avenue,2280,(02) 4946 8464,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
